Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Oracle,50,Hard,76,1,0.246874,0.997404,9.44372
A* Oracle,50,Hard,77,1,0.246877,0.997404,9.44763
A* Oracle,50,Hard,78,2,0.249265,0.997404,9.45088
A* Oracle,50,Hard,79,1,0.250116,0.997404,9.45218
A* Oracle,50,Hard,80,1,0.250745,0.997404,9.45348
A* Oracle,50,Hard,81,6,0.264384,0.997404,9.46714
A* Oracle,50,Hard,82,1,0.263446,0.997404,9.46845
A* Oracle,50,Hard,83,1,0.256778,0.997404,9.46779
A* Oracle,50,Hard,84,1,0.256165,0.997404,9.46779
A* Oracle,50,Hard,85,1,0.256573,0.996755,9.4707
A* Oracle,50,Hard,86,1,0.257011,0.996755,9.48828
A* Oracle,50,Hard,87,1,0.257293,0.996755,9.48828
A* Oracle,50,Hard,88,1,0.25726,0.996755,9.48828
A* Oracle,50,Hard,89,2,0.251707,0.996106,9.49055
A* Oracle,50,Hard,90,1,0.252425,0.996106,9.49186
A* Oracle,50,Hard,91,1,0.251098,0.996106,9.49251
A* Oracle,50,Hard,92,1,0.247638,0.996106,9.49316
A* Oracle,50,Hard,93,1,0.248172,0.996106,9.49251
A* Oracle,50,Hard,94,1,0.248221,0.996106,9.49251
A* Oracle,50,Hard,95,1,0.250039,0.996106,9.49316
A* Oracle,50,Hard,96,2,0.25059,0.996755,9.49089
A* Oracle,50,Hard,97,1,0.253559,0.996755,9.49089
A* Oracle,50,Hard,98,1,0.25321,0.996755,9.49089
A* Oracle,50,Hard,99,1,0.251737,0.996755,9.49154
A* Oracle,50,Hard,100,1,0.253585,0.996755,9.49284
onlyTrainLeafNodes,50,Hard,0,0,0,0.674886,6.46538
onlyTrainLeafNodes,50,Hard,1,1,1.74395,0.674886,6.46346
onlyTrainLeafNodes,50,Hard,2,2,1.21988,0.673589,6.45665
onlyTrainLeafNodes,50,Hard,3,1,1.05539,0.673589,6.45665
onlyTrainLeafNodes,50,Hard,4,1,0.520283,0.673589,6.45568
onlyTrainLeafNodes,50,Hard,5,1,0.730358,0.673589,6.44605
onlyTrainLeafNodes,50,Hard,6,1,1.31168,0.673589,6.44605
onlyTrainLeafNodes,50,Hard,7,1,0.63982,0.673589,6.44412
onlyTrainLeafNodes,50,Hard,8,4,1.28694,0.674886,6.37115
onlyTrainLeafNodes,50,Hard,9,1,1.50458,0.674886,6.375
onlyTrainLeafNodes,50,Hard,10,1,0.25718,0.674886,6.37692
onlyTrainLeafNodes,50,Hard,11,1,0.854186,0.674886,6.37019
onlyTrainLeafNodes,50,Hard,12,1,1.45742,0.674886,6.37115
onlyTrainLeafNodes,50,Hard,13,1,0.644622,0.674886,6.38942
onlyTrainLeafNodes,50,Hard,14,1,2.06469,0.674886,6.38846
onlyTrainLeafNodes,50,Hard,15,1,1.90356,0.675535,6.39866
onlyTrainLeafNodes,50,Hard,16,2,1.87219,0.674886,6.39231
onlyTrainLeafNodes,50,Hard,17,1,1.09932,0.675535,6.38905
onlyTrainLeafNodes,50,Hard,18,1,0.358063,0.675535,6.39001
onlyTrainLeafNodes,50,Hard,19,1,1.56555,0.675535,6.38905
onlyTrainLeafNodes,50,Hard,20,1,0.826804,0.675535,6.38905
onlyTrainLeafNodes,50,Hard,21,1,0.412482,0.675535,6.38617
onlyTrainLeafNodes,50,Hard,22,1,1.05202,0.67294,6.35198
onlyTrainLeafNodes,50,Hard,23,1,0.560922,0.670344,6.3514
onlyTrainLeafNodes,50,Hard,24,1,0.684549,0.670344,6.3514
onlyTrainLeafNodes,50,Hard,25,1,1.56861,0.670344,6.3514
onlyTrainLeafNodes,50,Hard,26,1,0.628942,0.670344,6.35334
onlyTrainLeafNodes,50,Hard,27,1,0.346231,0.669695,6.35078
onlyTrainLeafNodes,50,Hard,28,1,0.372971,0.669695,6.35078
onlyTrainLeafNodes,50,Hard,29,1,1.49131,0.671642,6.38744
