Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Static,20,Medium,9,1,0,0.938849,5.5364
A* Static,20,Medium,10,1,0,0.910072,5.42292
A* Static,20,Medium,11,1,0,0.899281,5.372
A* Static,20,Medium,12,6,0,0.78777,5.04566
A* Static,20,Medium,13,1,0,0.78777,5.04566
A* Static,20,Medium,14,2,0,0.776978,5.06481
A* Static,20,Medium,15,1,0,0.773381,5.05581
A* Static,20,Medium,16,1,0,0.766187,5.02347
A* Static,20,Medium,17,1,0,0.766187,5.02347
A* Static,20,Medium,18,1,0,0.766187,5.02347
A* Static,20,Medium,19,1,0,0.741007,4.91262
A* Static,20,Medium,20,1,0,0.73741,4.91707
A* Static,20,Medium,21,1,0,0.733813,4.93627
A* Static,20,Medium,22,1,0,0.730216,4.94581
A* Static,20,Medium,23,1,0,0.723022,4.9204
A* Static,20,Medium,24,3,0,0.708633,4.83249
A* Static,20,Medium,25,1,0,0.705036,4.85204
A* Static,20,Medium,26,1,0,0.697842,4.80928
A* Static,20,Medium,27,1,0,0.694245,4.81865
A* Static,20,Medium,28,1,0,0.694245,4.81865
A* Static,20,Medium,29,1,0,0.672662,4.75401
A* Static,20,Medium,30,1,0,0.665468,4.73514
A* Static,20,Medium,31,1,0,0.665468,4.73514
A* Static,20,Medium,32,1,0,0.651079,4.70166
A* Static,20,Medium,33,1,0,0.651079,4.70166
A* Static,20,Medium,34,1,0,0.643885,4.69274
A* Static,20,Medium,35,1,0,0.643885,4.69274
A* Static,20,Medium,36,1,0,0.643885,4.69274
A* Static,20,Medium,37,1,0,0.633094,4.6875
A* Static,20,Medium,38,1,0,0.604317,4.57143
A* Static,20,Medium,39,2,0,0.600719,4.57485
A* Static,20,Medium,40,1,0,0.593525,4.55152
A* Static,20,Medium,41,1,0,0.589928,4.55488
A* Static,20,Medium,42,1,0,0.589928,4.55488
A* Static,20,Medium,43,1,0,0.589928,4.55488
A* Static,20,Medium,44,1,0,0.586331,4.53374
A* Static,20,Medium,45,1,0,0.589928,4.53049
A* Static,20,Medium,46,1,0,0.593525,4.53939
A* Static,20,Medium,47,4,0,0.589928,4.43293
A* Static,20,Medium,48,1,0,0.589928,4.43293
A* Static,20,Medium,49,1,0,0.589928,4.43293
A* Static,20,Medium,50,1,0,0.589928,4.43293
A* Oracle,20,Medium,0,0,0,1,5.63669
A* Oracle,20,Medium,1,1,0.0304817,1,5.63669
A* Oracle,20,Medium,2,2,0.030146,1,5.64029
A* Oracle,20,Medium,3,1,0.0302795,1,5.6223
A* Oracle,20,Medium,4,1,0.0304006,1,5.58633
A* Oracle,20,Medium,5,1,0.0303602,1,5.58993
A* Oracle,20,Medium,6,1,0.0304675,1,5.57914
A* Oracle,20,Medium,7,1,0.0304505,1,5.57914
A* Oracle,20,Medium,8,1,0.0305203,1,5.58633
A* Oracle,20,Medium,9,1,0.0307899,1,5.57554
A* Oracle,20,Medium,10,1,0.0305536,1,5.58273
A* Oracle,20,Medium,11,1,0.0306072,1,5.58273
A* Oracle,20,Medium,12,6,0.0302428,0.996403,5.6065
A* Oracle,20,Medium,13,1,0.0303473,0.996403,5.60289
A* Oracle,20,Medium,14,2,0.0305829,0.996403,5.61011
A* Oracle,20,Medium,15,1,0.0304325,0.996403,5.6065
A* Oracle,20,Medium,16,1,0.0302224,0.996403,5.61372
A* Oracle,20,Medium,17,1,0.0302172,0.996403,5.61011
A* Oracle,20,Medium,18,1,0.0300994,0.996403,5.59928
A* Oracle,20,Medium,19,1,0.030092,0.996403,5.59567
A* Oracle,20,Medium,20,1,0.030205,0.996403,5.59567
A* Oracle,20,Medium,21,1,0.0297988,0.996403,5.59567
A* Oracle,20,Medium,22,1,0.0300978,0.996403,5.59567
A* Oracle,20,Medium,23,1,0.0299927,0.996403,5.54874
A* Oracle,20,Medium,24,3,0.0299194,0.996403,5.53791
A* Oracle,20,Medium,25,1,0.0295593,0.996403,5.54513
A* Oracle,20,Medium,26,1,0.0298731,0.996403,5.55596
A* Oracle,20,Medium,27,1,0.0298094,0.996403,5.54874
A* Oracle,20,Medium,28,1,0.0297475,0.996403,5.54513
A* Oracle,20,Medium,29,1,0.0299521,0.996403,5.54513
A* Oracle,20,Medium,30,1,0.029673,0.996403,5.54874
A* Oracle,20,Medium,31,1,0.0296045,0.996403,5.54152
A* Oracle,20,Medium,32,1,0.0298884,0.996403,5.54513
A* Oracle,20,Medium,33,1,0.0297658,0.996403,5.49097
A* Oracle,20,Medium,34,1,0.0320956,0.996403,5.47292
A* Oracle,20,Medium,35,1,0.0292821,0.97482,5.4428
A* Oracle,20,Medium,36,1,0.029472,0.97482,5.43911
A* Oracle,20,Medium,37,1,0.0291721,0.97482,5.43542
A* Oracle,20,Medium,38,1,0.0291881,0.97482,5.43173
A* Oracle,20,Medium,39,2,0.02958,0.996403,5.46209
A* Oracle,20,Medium,40,1,0.0294902,0.992806,5.45652
A* Oracle,20,Medium,41,1,0.029399,0.992806,5.4529
