Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A* Static,20,Hard,5,0.0201211,4.4412e-05,0.773756,6.49123
A* Static,20,Hard,10,0.0201211,4.4901e-05,0.809955,6.64804
Local,20,Hard,0,0.441107,0,0.941176,7.10096
Local,20,Hard,1,0.441107,0.291071,0.941176,6.89423
Local,20,Hard,2,0.441107,0.250044,0.941176,6.84615
Local,20,Hard,3,0.441107,0.304418,0.941176,6.6875
Local,20,Hard,4,0.441107,0.329456,0.855204,6.87831
Local,20,Hard,5,0.441107,0.280779,0.941176,6.80288
Local,20,Hard,10,0.441107,0.325012,0.950226,6.9619
Hierarchy,20,Hard,0,0.338411,0,0.941176,7.04327
Hierarchy,20,Hard,1,0.338411,0.367533,0.941176,6.84615
Hierarchy,20,Hard,2,0.338411,0.235638,0.941176,6.84615
Hierarchy,20,Hard,3,0.338411,0.23804,0.941176,6.66827
Hierarchy,20,Hard,4,0.338411,0.303909,0.855204,6.86772
Hierarchy,20,Hard,5,0.338411,0.261278,0.941176,6.82212
Hierarchy,20,Hard,10,0.338411,0.304421,0.950226,6.9619
A* Oracle,50,Easy,0,0.426453,0,1,5.02514
A* Oracle,50,Easy,1,0.426453,0.400822,1,5.01725
A* Oracle,50,Easy,2,0.426453,0.401483,1,5.0276
A* Oracle,50,Easy,3,0.426453,0.396422,1,5.01725
A* Oracle,50,Easy,4,0.426453,0.394954,1,5.03006
A* Oracle,50,Easy,5,0.426453,0.401097,1,5.0276
A* Oracle,50,Easy,10,0.426453,0.403413,1,5.05372
A* Static,50,Easy,0,0.401218,0,1,5.02514
A* Static,50,Easy,1,0.401218,0.000610824,0.987186,5.00849
A* Static,50,Easy,2,0.401218,0.000868149,0.988172,4.99401
A* Static,50,Easy,3,0.401218,0.000955226,0.9793,4.9542
A* Static,50,Easy,4,0.401218,0.000615308,0.988664,5.00598
A* Static,50,Easy,5,0.401218,0.000632023,0.984229,4.98598
A* Static,50,Easy,10,0.401218,0.000628948,0.948743,4.94597
Local,50,Easy,0,7.93427,0,0.999507,5.16815
Local,50,Easy,1,7.93427,0.14033,0.999507,5.16026
Local,50,Easy,2,7.93427,0.534596,0.999507,5.16272
Local,50,Easy,3,7.93427,0.507604,0.999507,5.14892
Local,50,Easy,4,7.93427,0.923269,0.999507,5.15976
Local,50,Easy,5,7.93427,1.48831,0.999507,5.13807
