Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Hierarchy,100,Medium,10,53.3909,9.99157,0.999,4.71662
Hierarchy,100,Medium,20,53.3909,16.8381,0.9996,4.67847
A*,100,Hard,0,2.32969,0,0.9986,7.34078
A*,100,Hard,1,2.32969,2.32524,0.9991,7.39786
A*,100,Hard,5,2.32969,2.33673,0.9988,7.43082
A*,100,Hard,10,2.32969,2.32217,0.9986,7.46014
A*,100,Hard,20,2.32969,2.33322,0.9989,7.37802
Local,100,Hard,0,69.9988,0,0.9707,7.34717
Local,100,Hard,1,69.9988,0.487118,0.9741,7.31958
Local,100,Hard,5,69.9988,1.61475,0.9698,7.39029
Local,100,Hard,10,69.9988,7.1611,0.9714,7.33333
Local,100,Hard,20,69.9988,10.4966,0.9739,7.31975
Hierarchy,100,Hard,0,91.6235,0,0.977,7.27615
Hierarchy,100,Hard,1,91.6235,1.06814,0.9802,7.31075
Hierarchy,100,Hard,5,91.6235,4.96572,0.9755,7.35038
Hierarchy,100,Hard,10,91.6235,14.8036,0.9809,7.39158
Hierarchy,100,Hard,20,91.6235,22.5811,0.9805,7.30913
A*,200,Easy,0,10.2569,0,1,4.4355
A*,200,Easy,1,10.2569,10.2346,1,4.5005
A*,200,Easy,5,10.2569,10.2313,1,4.4745
A*,200,Easy,10,10.2569,10.2451,1,4.458
A*,200,Easy,20,10.2569,10.2316,1,4.4551
A*,200,Easy,50,10.2569,10.2843,1,4.5053
Local,200,Easy,0,188.693,0,0.9986,4.61927
Local,200,Easy,1,188.693,0.466635,0.9977,4.651
Local,200,Easy,5,188.693,1.26382,0.9986,4.66543
Local,200,Easy,10,188.693,4.76116,0.9979,4.60437
Local,200,Easy,20,188.693,10.3001,0.9977,4.63987
Local,200,Easy,50,188.693,22.2772,0.9978,4.57587
Hierarchy,200,Easy,0,236.896,0,0.9979,4.60166
Hierarchy,200,Easy,1,236.896,1.30535,0.9981,4.61597
Hierarchy,200,Easy,5,236.896,3.06664,0.9981,4.6329
Hierarchy,200,Easy,10,236.896,11.3056,0.9978,4.55713
Hierarchy,200,Easy,20,236.896,19.7338,0.9976,4.51694
Hierarchy,200,Easy,50,236.896,44.0545,0.9978,4.55181
A*,200,Medium,0,7.04847,0,0.9995,4.57659
A*,200,Medium,1,7.04847,7.06527,0.9996,4.61855
A*,200,Medium,5,7.04847,7.12623,0.9999,4.58426
A*,200,Medium,10,7.04847,7.04529,0.9999,4.58816
A*,200,Medium,20,7.04847,7.05334,0.9998,4.60132
A*,200,Medium,50,7.04847,7.04387,0.9996,4.64276
Local,200,Medium,0,173.852,0,0.991,4.68355
Local,200,Medium,1,173.852,0.444976,0.9925,4.68151
Local,200,Medium,5,173.852,1.57583,0.9915,4.73283
Local,200,Medium,10,173.852,4.69216,0.9915,4.72113
Local,200,Medium,20,173.852,8.21537,0.9913,4.67437
Local,200,Medium,50,173.852,20.8001,0.9925,4.72212
Hierarchy,200,Medium,0,230.578,0,0.9957,4.71759
Hierarchy,200,Medium,1,230.578,1.25033,0.9952,4.72036
Hierarchy,200,Medium,5,230.578,4.98164,0.9966,4.73721
Hierarchy,200,Medium,10,230.578,11.2178,0.9962,4.685
Hierarchy,200,Medium,20,230.578,20.6514,0.9955,4.70598
Hierarchy,200,Medium,50,230.578,42.6535,0.9933,4.6574
A*,200,Hard,0,9.3801,0,0.9978,7.07567
